LANGUAGE,English,Czech,Comment
STRM_03Mr04,"OK. WE WILL HAVE LEAVE THE TRUCK HERE AND GO BY FEET AND STAY ALLERT",,marek
STRM_03Mr05,"LOOK OUT, RUSSIANS!",,marek
STRM_03Mr06,"TAKE COVER! THAT'S HIND! GET TO THE FOREST, QUICKLY!",,marek
STRM_03Mr07,"OK, WE'RE HERE. AMERICAN, THAT'S YOUR TURN, CALL THEM!",,marek
STRM_03Mr08,"PAPA BEAR, THIS IS FOX. WE ARE IN POSITION, SEND THE BOAT!",,ed
STRM_03Mr09,"COPY THAT, FOX SIX. HOLD ON THERE. SWORDFISH WILL BE THERE IN FIVE MINUTES, PAPA BEAR OUT.",,papa
STRM_03Mr10,"FOX SIX, GET INM HURRY! WE NEED TO GET OUT OF HERE!",,boat
STRM_03Mr11,"GUYS, THANK YOU SO MUCH FOR YOUR HELP. I PROMISE I'LL DO MY BEST AND WE ALL FIND A WAY TO PAY YOU BACK.",,ed
STRM_03Mr12,"YOU'RE WELCOME, AMERICAN. THAT WAS A PIECE OF CAKE, SEE YOU SOON. OUT.",,marek


STRM_m1,Crash place,Místo sestřelu,marker
